X_Value,Temperature_0,Temperature_1,Temperature_2
45.4,222.926923,286.410998,193.590364
45.5,222.926923,286.410998,193.590364
45.6,222.891132,285.524192,193.526189
45.7,222.891132,285.524192,193.526189
45.8,222.891132,285.524192,193.526189
45.9,222.795608,284.576299,193.490642
46,222.795608,284.576299,193.490642
46.1,222.795608,284.576299,193.490642
46.2,222.368678,283.509436,193.671239
46.3,222.368678,283.509436,193.671239
46.4,222.368678,283.509436,193.671239
46.5,222.156019,282.469448,193.851594
46.6,222.156019,282.469448,193.851594
46.7,222.156019,282.469448,193.851594
46.8,221.919161,281.506819,194.045305
46.9,221.919161,281.506819,194.045305
47,221.919161,281.506819,194.045305
47.1,221.595971,280.482249,194.164106
47.2,221.595971,280.482249,194.164106
47.3,221.595971,280.482249,194.164106
47.4,221.194959,279.369025,194.26597
47.5,221.194959,279.369025,194.26597
47.6,221.194959,279.369025,194.26597
47.7,221.041987,278.623056,194.341829
47.8,221.041987,278.623056,194.341829
47.9,221.041987,278.623056,194.341829
48,220.93929,277.830284,194.464445
48.1,220.93929,277.830284,194.464445
48.2,220.93929,277.830284,194.464445
48.3,220.496205,276.785004,194.622363
48.4,220.496205,276.785004,194.622363
48.5,220.496205,276.785004,194.622363
48.6,219.901217,275.877075,194.904321
48.7,219.901217,275.877075,194.904321
48.8,219.901217,275.877075,194.904321
48.9,219.449443,274.933547,195.095866
49,219.449443,274.933547,195.095866
49.1,219.449443,274.933547,195.095866
49.2,219.233737,274.157716,195.234216
49.3,219.233737,274.157716,195.234216
49.4,219.233737,274.157716,195.234216
49.5,219.65422,273.543006,195.402618
49.6,219.65422,273.543006,195.402618
49.7,219.65422,273.543006,195.402618
49.8,220.060413,272.962977,195.514009
49.9,220.060413,272.962977,195.514009
50,220.060413,272.962977,195.514009
50.1,219.4848,272.02577,195.650922
50.2,219.4848,272.02577,195.650922
50.3,219.4848,272.02577,195.650922
50.4,219.255332,271.073329,195.803813
50.5,219.255332,271.073329,195.803813
50.6,219.255332,271.073329,195.803813
50.7,218.901251,270.087732,195.904228
50.8,218.901251,270.087732,195.904228
50.9,218.901251,270.087732,195.904228
51,218.560422,269.139878,195.99057
51.1,218.560422,269.139878,195.99057
51.2,218.560422,269.139878,195.99057
51.3,218.141458,268.142088,196.082636
51.4,218.141458,268.142088,196.082636
51.5,218.141458,268.142088,196.082636
51.6,217.677331,267.082424,196.059739
51.7,217.677331,267.082424,196.059739
51.8,217.677331,267.082424,196.059739
51.9,217.13739,266.265652,195.992717
